               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.015398,           0.0075414,           0.0044002,             0.99035,              0.9924,             0.98865,             0.91288,           0.0030341,           0.0015718,          0.00013639,            0.004555,            0.004555,            0.004555
                  57,            0.013541,           0.0073305,           0.0030484,             0.99026,             0.99156,             0.98905,             0.90116,           0.0033111,           0.0015103,          0.00012665,            0.004456,            0.004456,            0.004456
                  58,             0.01345,           0.0074833,           0.0036835,             0.98998,             0.99154,             0.98885,              0.9078,           0.0031198,           0.0015561,          0.00012364,            0.004357,            0.004357,            0.004357
                  59,             0.01332,           0.0073343,           0.0026663,             0.99027,             0.99141,             0.98817,             0.90988,           0.0033438,           0.0014777,          0.00010406,            0.004258,            0.004258,            0.004258
                  60,            0.013598,           0.0072099,           0.0031044,             0.98921,              0.9924,             0.99028,             0.91317,           0.0031271,           0.0015292,          0.00010262,            0.004159,            0.004159,            0.004159
                  61,            0.013329,           0.0071446,           0.0026055,             0.98895,             0.99197,             0.98854,             0.91279,           0.0030499,           0.0014845,           7.492e-05,             0.00406,             0.00406,             0.00406
                  62,            0.014524,           0.0070712,           0.0030447,             0.98834,             0.99184,             0.98966,             0.91475,           0.0032569,           0.0014536,          0.00012781,            0.003961,            0.003961,            0.003961
                  63,            0.013062,           0.0073608,           0.0034591,             0.98849,             0.99143,             0.99291,              0.9113,           0.0031298,           0.0015291,          0.00011691,            0.003862,            0.003862,            0.003862
                  64,             0.01393,           0.0071301,           0.0031615,             0.99111,             0.98954,             0.98975,             0.91235,           0.0031437,           0.0014574,          8.2823e-05,            0.003763,            0.003763,            0.003763
                  65,            0.012806,           0.0070799,           0.0024893,             0.99015,             0.99172,             0.98973,             0.91455,           0.0030571,           0.0015235,          0.00010189,            0.003664,            0.003664,            0.003664
                  66,            0.012995,            0.007049,           0.0024434,              0.9904,             0.99235,             0.98938,             0.92097,           0.0029831,           0.0014552,          6.6705e-05,            0.003565,            0.003565,            0.003565
                  67,            0.012985,           0.0069824,           0.0036005,             0.99068,             0.99213,             0.99037,             0.91835,           0.0030733,           0.0014323,           5.271e-05,            0.003466,            0.003466,            0.003466
                  68,            0.012369,           0.0068208,           0.0019108,             0.99115,              0.9924,             0.98964,             0.91385,           0.0030836,           0.0014342,          7.1632e-05,            0.003367,            0.003367,            0.003367
                  69,            0.012546,           0.0069284,           0.0031352,             0.99124,              0.9924,             0.98916,             0.91774,           0.0030269,           0.0014014,          4.7102e-05,            0.003268,            0.003268,            0.003268
                  70,            0.012896,           0.0069385,           0.0039677,             0.98898,             0.99235,             0.99039,             0.91599,            0.003106,           0.0014888,          8.0313e-05,            0.003169,            0.003169,            0.003169
                  71,            0.011839,           0.0070141,           0.0024954,             0.99006,             0.99115,             0.98946,             0.92278,           0.0029287,           0.0014421,          6.2381e-05,             0.00307,             0.00307,             0.00307
                  72,            0.012679,           0.0067775,            0.004195,             0.99118,              0.9924,             0.99128,             0.92309,           0.0029543,           0.0014274,          5.8124e-05,            0.002971,            0.002971,            0.002971
                  73,            0.011838,           0.0069896,            0.002769,             0.99116,             0.99234,             0.98962,             0.92281,           0.0029904,           0.0015188,          6.4069e-05,            0.002872,            0.002872,            0.002872
                  74,            0.011298,            0.006737,           0.0018556,             0.99143,             0.99113,             0.98878,             0.92089,           0.0029234,           0.0014263,          7.1088e-05,            0.002773,            0.002773,            0.002773
                  75,            0.012137,           0.0067897,           0.0021335,             0.99168,              0.9924,             0.99225,               0.928,           0.0029248,           0.0013979,          2.8042e-05,            0.002674,            0.002674,            0.002674
                  76,            0.012072,           0.0067473,           0.0021653,              0.9896,              0.9925,              0.9915,               0.924,            0.002897,           0.0014386,          3.8093e-05,            0.002575,            0.002575,            0.002575
                  77,            0.012552,           0.0068207,           0.0026518,             0.98925,             0.99176,             0.99133,              0.9261,           0.0029393,           0.0014333,          4.3786e-05,            0.002476,            0.002476,            0.002476
                  78,            0.011834,           0.0065162,           0.0026507,              0.9917,              0.9924,             0.98987,              0.9179,           0.0029801,           0.0014582,          2.3869e-05,            0.002377,            0.002377,            0.002377
                  79,            0.011874,           0.0068725,            0.002039,             0.99227,              0.9924,             0.99001,              0.9215,           0.0029564,            0.001488,          3.3471e-05,            0.002278,            0.002278,            0.002278
                  80,             0.01177,           0.0066723,           0.0017864,             0.99182,             0.99088,             0.99001,               0.925,            0.002903,           0.0014301,          2.5375e-05,            0.002179,            0.002179,            0.002179
                  81,            0.011754,           0.0065302,           0.0019545,             0.99203,              0.9924,             0.98999,             0.92871,           0.0028403,           0.0014083,          2.4985e-05,             0.00208,             0.00208,             0.00208
                  82,            0.011482,           0.0068718,           0.0023419,             0.99203,             0.99196,             0.99013,             0.92526,           0.0029587,           0.0014445,          2.0119e-05,            0.001981,            0.001981,            0.001981
                  83,            0.011397,           0.0069132,           0.0022935,             0.99206,              0.9924,             0.98906,               0.925,           0.0028773,           0.0014093,          1.8496e-05,            0.001882,            0.001882,            0.001882
                  84,            0.011374,           0.0066834,           0.0019405,             0.99219,             0.99194,             0.98851,             0.92588,           0.0028818,           0.0014236,          2.2664e-05,            0.001783,            0.001783,            0.001783
                  85,            0.011644,           0.0065978,           0.0025786,             0.99204,              0.9924,             0.99082,             0.93129,           0.0029068,           0.0014009,          1.6531e-05,            0.001684,            0.001684,            0.001684
                  86,            0.010351,            0.006428,           0.0017429,             0.99195,             0.99186,             0.98972,             0.92958,           0.0028466,           0.0014662,          1.1923e-05,            0.001585,            0.001585,            0.001585
                  87,            0.010553,           0.0064208,           0.0016688,             0.99191,              0.9924,             0.99052,             0.93032,           0.0028451,            0.001397,          1.2107e-05,            0.001486,            0.001486,            0.001486
                  88,             0.01005,           0.0065553,            0.001629,             0.99078,             0.99253,             0.98993,             0.93169,           0.0028917,           0.0013772,          1.1169e-05,            0.001387,            0.001387,            0.001387
                  89,            0.010976,           0.0064606,           0.0022932,              0.9914,             0.99252,             0.99048,             0.92976,           0.0027872,           0.0013607,          1.1264e-05,            0.001288,            0.001288,            0.001288
                  90,            0.010164,           0.0062801,            0.002478,             0.99143,              0.9924,             0.99143,             0.93177,           0.0028946,           0.0014045,          1.2953e-05,            0.001189,            0.001189,            0.001189
                  91,            0.010145,           0.0064627,           0.0022158,             0.99075,             0.99245,             0.99068,             0.93364,           0.0028205,           0.0013808,          9.7505e-06,             0.00109,             0.00109,             0.00109
                  92,             0.01024,           0.0063404,           0.0018858,             0.99106,             0.99256,             0.99059,             0.93494,           0.0028235,           0.0013774,          6.6791e-06,            0.000991,            0.000991,            0.000991
                  93,           0.0098246,           0.0063876,           0.0027728,             0.99152,              0.9924,             0.99093,             0.93373,           0.0027927,           0.0013832,          5.6765e-06,            0.000892,            0.000892,            0.000892
                  94,            0.010276,           0.0064732,           0.0028302,             0.99123,             0.99241,             0.99092,             0.93358,           0.0027529,           0.0013376,          5.7932e-06,            0.000793,            0.000793,            0.000793
                  95,            0.010675,           0.0065188,           0.0029412,              0.9924,              0.9924,             0.99173,             0.93691,            0.002781,           0.0013491,          4.5467e-06,            0.000694,            0.000694,            0.000694
                  96,           0.0094097,           0.0061615,           0.0016124,             0.99156,              0.9924,             0.99086,             0.93672,           0.0027618,           0.0013753,            4.65e-06,            0.000595,            0.000595,            0.000595
                  97,           0.0099147,           0.0062324,           0.0012181,             0.99135,             0.99245,             0.99093,             0.93631,           0.0027344,           0.0013629,          4.5794e-06,            0.000496,            0.000496,            0.000496
                  98,           0.0097685,           0.0059408,           0.0026757,             0.99179,              0.9924,             0.99089,             0.93649,           0.0027897,           0.0013627,          3.9744e-06,            0.000397,            0.000397,            0.000397
                  99,           0.0094654,           0.0062928,           0.0021804,             0.99131,              0.9924,             0.99085,             0.93745,           0.0027645,           0.0013543,          3.9622e-06,            0.000298,            0.000298,            0.000298
